rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,doi:10.3390/s26103140,Uncertainty-Calibrated Safety Gating for Vision–Language– Action Manipulation Under Domain Shift: Reliability Gains and Intervention–Efficiency Trade-Offs,2026,Sensors,https://doi.org/10.3390/s26103140,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1109/icarcv50220.2020.9305363,Model Predictive Path Integral Control Framework for Partially Observable Navigation: A Quadrotor Case Study,2020,"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)",https://doi.org/10.1109/icarcv50220.2020.9305363,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
13,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
14,arxiv:2312.06876v1,Interactive Planning Using Large Language Models for Partially Observable Robotics Tasks,2023,arXiv,http://arxiv.org/abs/2312.06876v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
15,title:xavier a robot navigation architecture based on partially observable markov decision process models,Xavier: a robot navigation architecture based on partially observable Markov decision process models,1998,,https://openalex.org/W1991622981,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1109/lcsys.2023.3284807,Model Predictive Control in Partially Observable Multi-Modal Discrete Environments,2023,IEEE Control Systems Letters,https://doi.org/10.1109/lcsys.2023.3284807,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.15607/rss.2024.xx.118,Partially Observable Task and Motion Planning with Uncertainty and Risk Awareness,2024,Robotics: Science and Systems XX,https://doi.org/10.15607/rss.2024.xx.118,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1109/iros.2017.8206001,Learning for multi-robot cooperation in partially observable stochastic environments with macro-actions,2017,,https://doi.org/10.1109/iros.2017.8206001,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
19,arxiv:2409.12514v5,"TinyVLA: Towards Fast, Data-Efficient Vision-Language-Action Models for Robotic Manipulation",2024,arXiv,http://arxiv.org/abs/2409.12514v5,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.1137/s0363012995287326,Classes of Nonlinear Partially Observable Stochastic Optimal Control Problems with Explicit Optimal Control Laws,1998,SIAM Journal on Control and Optimization,https://doi.org/10.1137/s0363012995287326,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.1109/robot.2009.5152776,What to do and how to do it: Translating natural language directives into temporal and dynamic logic representation for goal management and action execution,2009,2009 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.2009.5152776,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
22,arxiv:2606.03556v1,Partially Observable Adversarial Patch Attacks on Vision-Language-Action Models in Robotics,2026,arXiv,http://arxiv.org/abs/2606.03556v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
23,arxiv:2603.15265v1,MoE-ACT: Scaling Multi-Task Bimanual Manipulation with Sparse Language-Conditioned Mixture-of-Experts Transformers,2026,arXiv,http://arxiv.org/abs/2603.15265v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
24,arxiv:2512.00797v1,Transforming Monolithic Foundation Models into Embodied Multi-Agent Architectures for Human-Robot Collaboration,2025,arXiv,http://arxiv.org/abs/2512.00797v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
25,title:probabilistic robot navigation in partially observable environments,Probabilistic robot navigation in partially observable environments,1995,,https://openalex.org/W73143588,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1016/j.spmi.2018.07.006,Manipulation of resistive state of silicon oxide memristor by means of current limitation during electroforming,2018,Superlattices and Microstructures,https://doi.org/10.1016/j.spmi.2018.07.006,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.3390/robotics12040104,Skill Fusion in Hybrid Robotic Framework for Visual Object Goal Navigation,2023,Robotics,https://doi.org/10.3390/robotics12040104,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.1109/acc.2013.6580815,Optimal control of partially observable discrete time stochastic hybrid systems for safety specifications,2013,2013 American Control Conference,https://doi.org/10.1109/acc.2013.6580815,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2603.12193v1,SaPaVe: Towards Active Perception and Manipulation in Vision-Language-Action Models for Robotics,2026,arXiv,http://arxiv.org/abs/2603.12193v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
30,arxiv:2605.08434v2,Failing Forward: Adaptive Failure-Informed Learning for Vision-Language-Action Models,2026,arXiv,http://arxiv.org/abs/2605.08434v2,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.1109/tro.2023.3299524,Integrated Task and Motion Planning for Safe Legged Navigation in Partially Observable Environments,2023,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2023.3299524,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v20i1.13436,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1109/icra40945.2020.9196681,Online Replanning in Belief Space for Partially Observable Task and Motion Problems,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra40945.2020.9196681,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
34,arxiv:2411.19650v1,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,arXiv,http://arxiv.org/abs/2411.19650v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
35,arxiv:2406.03641v2,Task and Motion Planning for Execution in the Real,2024,arXiv,http://arxiv.org/abs/2406.03641v2,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.1016/j.mex.2024.102552,An algorithm to create model file for Partially Observable Markov Decision Process for mobile robot path planning,2024,MethodsX,https://doi.org/10.1016/j.mex.2024.102552,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
37,doi:10.1609/icaps.v30i1.6662,Efficient Robot Planning for Achieving Multiple Independent Partially Observable Tasks That Evolve over Time,2020,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v30i1.6662,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
38,arxiv:2506.16555v1,An Optimization-Augmented Control Framework for Single and Coordinated Multi-Arm Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2506.16555v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
39,doi:10.1007/s43681-024-00441-6,Reinforcement learning-based motion planning in partially observable environments under ethical constraints,2025,AI and Ethics,https://doi.org/10.1007/s43681-024-00441-6,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
40,arxiv:1609.09001v2,Learning from the Hindsight Plan -- Episodic MPC Improvement,2016,arXiv,http://arxiv.org/abs/1609.09001v2,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.22541/au.170668766.62174126/v1,The Optimal Control and Optimization Algorithm of Partially Observable Stochastic Signals in Intelligent Control,,,https://doi.org/10.22541/au.170668766.62174126/v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.1007/s10846-021-01396-0,Extending Behavior Trees for Representing and Planning Robot Adjoint Actions in Partially Observable Environments,2021,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-021-01396-0,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.1109/icra.2016.7487160,Multimodal execution monitoring for anomaly detection during robot manipulation,2016,2016 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2016.7487160,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
45,doi:10.1109/icra46639.2022.9812322,"Enhanced Spatial Attention Graph for Motion Planning in Crowded, Partially Observable Environments",2022,2022 International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra46639.2022.9812322,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.1109/iros58592.2024.10801831,Learning to Recover from Plan Execution Errors during Robot Manipulation: A Neuro-symbolic Approach,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros58592.2024.10801831,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
47,doi:10.1609/aaai.v40i22.38955,Gentle Manipulation Policy Learning via Demonstrations from VLM Planned Atomic Skills,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i22.38955,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
48,arxiv:1910.10034v1,Language-guided Semantic Mapping and Mobile Manipulation in Partially Observable Environments,2019,arXiv,http://arxiv.org/abs/1910.10034v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
